account_id,account_activity_level,customer_value_level,MOB,flag_female,avg_sales_L36M,cnt_sales_L36M,last_sales,month_since_last_sales,count_direct_promo_L12M,birth_date
100003560,X,A,127.0,1,17500.0,2,20000.0,5,7,1949-03-08
100003726,X,A,26.0,1,10000.0,4,10000.0,14,5,1983-07-31
100003731,X,A,54.0,1,,0,15000.0,54,6,1954-03-30
100003859,X,A,123.0,0,10000.0,1,10000.0,16,5,1968-09-18
100004011,X,A,53.0,1,17000.0,2,20000.0,16,6,1966-12-20
100004138,X,A,75.0,1,25000.0,2,25000.0,26,7,1983-10-15
100004170,X,A,42.0,1,18000.0,3,20000.0,20,7,1981-12-27
100004340,X,A,44.0,1,25000.0,2,25000.0,26,7,1953-06-14
100004364,X,A,77.0,1,25000.0,3,25000.0,24,6,1952-11-08
100004385,X,A,41.0,0,20000.0,1,20000.0,21,4,1966-08-27
100004590,X,A,42.0,0,17500.0,5,20000.0,19,7,1946-10-11
100004592,X,A,66.0,0,17000.0,2,20000.0,24,6,1989-12-26
100004751,X,A,57.0,0,4570.0,7,5000.0,17,4,1996-01-08
100004770,X,A,65.0,0,25000.0,2,25000.0,18,7,1949-08-10
100004862,Y,B,74.0,1,18000.0,4,20000.0,17,6,1958-03-23
100004961,Y,B,68.0,0,8500.0,3,10000.0,16,5,1972-12-24
100005189,Y,A,45.0,0,25000.0,4,25000.0,16,6,1954-03-16
100005214,Y,A,42.0,0,20000.0,1,20000.0,15,3,1980-07-23
100005285,Y,B,16.0,1,25000.0,1,25000.0,16,5,1960-07-22
100005288,Z,A,20.0,1,20000.0,1,20000.0,20,4,1984-05-19
100005318,Z,A,16.0,1,15000.0,1,15000.0,16,4,1952-03-17
100005335,Z,A,21.0,1,15000.0,1,15000.0,21,3,2004-06-12
100005384,Z,A,22.0,0,15000.0,1,15000.0,22,3,1952-10-24
100005432,Z,A,16.0,1,15000.0,1,15000.0,16,4,1958-05-23
100005474,Z,A,56.0,0,,0,15000.0,56,2,1971-04-11
100005508,Z,A,24.0,1,15000.0,1,15000.0,24,3,1956-12-08
100005551,X,A,127.0,1,10000.0,4,10000.0,17,11,1954-07-25
100005642,X,A,103.0,0,10000.0,3,10000.0,17,6,1950-06-10
100005682,X,A,29.0,0,20000.0,1,20000.0,18,3,1977-07-28
100005820,X,A,129.0,1,5000.0,2,5000.0,19,3,1954-02-01
100005909,X,A,43.0,1,5400.0,4,5000.0,15,5,1977-02-20
100006039,X,A,43.0,1,16000.0,3,20000.0,19,7,1985-03-16
100006108,X,A,42.0,0,9170.0,7,10000.0,18,7,1983-05-16
100006137,X,A,41.0,0,8500.0,4,10000.0,15,6,1969-09-12
100006316,X,A,124.0,1,19000.0,3,20000.0,20,6,1952-06-10
100006630,X,A,76.0,0,25000.0,4,25000.0,15,5,1961-03-20
100006640,X,A,130.0,0,10000.0,5,10000.0,18,6,1953-12-12
100006717,Y,A,15.0,1,20000.0,1,20000.0,15,3,1981-11-08
100006786,Z,A,20.0,0,15000.0,1,15000.0,20,3,1951-07-30
100006828,Z,A,23.0,1,15000.0,1,15000.0,23,3,1993-08-30
100006845,Z,A,24.0,0,25000.0,1,25000.0,24,4,1957-11-02
100006983,Z,A,27.0,0,15000.0,3,15000.0,16,6,1951-08-31
100007176,Y,B,32.0,0,10400.0,5,10000.0,18,6,1959-10-13
100007206,X,A,86.0,1,25000.0,1,25000.0,26,4,1969-03-12
100007572,Z,A,19.0,1,20000.0,2,20000.0,19,5,1994-07-22
100007586,Z,A,17.0,1,15000.0,1,15000.0,17,4,1948-04-25
100007609,Z,A,20.0,1,15000.0,1,15000.0,20,3,1954-04-13
100007735,X,B,66.0,0,25000.0,3,25000.0,27,6,1997-06-21
100007805,X,B,111.0,0,26670.0,3,25000.0,15,6,1953-05-18
100007845,X,B,77.0,1,9000.0,5,10000.0,16,6,1956-01-31
100007984,X,B,104.0,0,10750.0,4,10000.0,18,6,1962-09-03
100008094,X,B,127.0,1,,0,15000.0,53,3,1983-07-12
100008118,X,B,119.0,1,10000.0,1,10000.0,18,5,1952-03-19
100008201,X,B,40.0,0,25000.0,2,25000.0,26,7,1970-11-19
100008236,X,B,40.0,1,4830.0,5,5000.0,21,5,1968-11-03
100008255,X,B,76.0,1,18670.0,3,20000.0,21,6,1970-08-23
100008516,Z,B,51.0,1,,0,15000.0,51,3,1973-07-14
100008595,Z,B,19.0,0,15000.0,1,15000.0,19,4,1956-03-16
100008621,Z,B,21.0,1,20000.0,1,20000.0,21,3,1992-06-12
100008649,X,B,90.0,1,10330.0,6,10000.0,13,5,1991-02-05
100008843,X,A,40.0,1,8500.0,5,10000.0,17,5,1970-06-21
100008864,X,B,100.0,1,10000.0,4,10000.0,19,7,1981-09-24
100008939,X,B,45.0,1,20000.0,3,20000.0,20,6,1969-10-28
100008944,X,B,128.0,1,10000.0,8,10000.0,22,6,1970-05-07
100009167,Z,B,50.0,0,,0,15000.0,50,2,1972-03-27
100009216,Z,B,24.0,1,25000.0,1,25000.0,24,4,1974-06-11
100009270,X,A,81.0,1,25000.0,2,25000.0,23,8,1955-02-16
100009414,X,A,39.0,0,10000.0,6,10000.0,17,6,1975-10-03
100009644,X,A,54.0,1,10000.0,3,10000.0,15,6,1987-10-09
100009717,X,A,41.0,0,25000.0,3,25000.0,15,5,1952-06-14
100009959,X,A,44.0,0,25000.0,1,25000.0,18,6,1949-04-29
100009987,X,A,130.0,1,9330.0,6,10000.0,15,5,1951-08-18
100010121,Z,A,91.0,1,5000.0,9,5000.0,11,8,1973-04-24
100010128,Z,A,17.0,1,15000.0,1,15000.0,17,4,1949-09-29
100010189,Z,A,21.0,0,15000.0,2,15000.0,21,4,1988-10-12
100010204,Z,A,22.0,1,20000.0,2,20000.0,22,5,1963-01-17
100010256,X,D,121.0,1,5600.0,5,5000.0,17,11,1957-02-08
100010311,X,D,126.0,1,10000.0,3,10000.0,18,6,1950-01-18
100010386,X,D,127.0,0,10000.0,1,10000.0,16,4,1952-07-10
100010574,X,D,57.0,0,18670.0,3,20000.0,17,6,1949-11-11
100010594,X,D,113.0,1,10000.0,3,10000.0,20,6,1947-05-04
100010684,X,D,33.0,0,20000.0,3,20000.0,25,3,1967-05-01
100010738,X,D,68.0,1,25000.0,2,25000.0,25,7,1977-04-05
100010782,X,D,29.0,0,8750.0,4,10000.0,16,6,1988-05-04
100010875,X,C,45.0,0,8440.0,9,10000.0,16,6,1980-04-21
100011079,X,D,41.0,1,17500.0,2,20000.0,15,6,1986-11-30
100011083,X,D,130.0,1,5000.0,4,5000.0,15,4,1953-04-01
100011337,X,D,104.0,0,4830.0,5,5000.0,15,5,1952-05-25
100011353,X,D,126.0,1,5000.0,3,5000.0,18,5,1980-09-05
100011568,X,D,65.0,1,16670.0,3,20000.0,17,6,1956-11-01
100011654,X,D,30.0,1,16500.0,1,16500.0,20,3,1984-12-02
100011669,X,D,52.0,1,,0,15000.0,52,3,1987-03-31
100011707,X,D,53.0,0,7670.0,6,9000.0,17,6,1979-06-10
100011738,X,D,109.0,1,9330.0,5,10000.0,7,6,1947-03-14
100011771,Y,D,128.0,1,25000.0,1,25000.0,15,3,1961-02-07
100011947,Z,D,16.0,1,15000.0,1,15000.0,16,2,1977-09-30
100011975,Z,D,16.0,0,20000.0,1,20000.0,16,5,1957-08-24
100012017,Z,D,18.0,0,25000.0,1,25000.0,18,4,1951-10-04
100012058,Z,D,21.0,1,15000.0,1,15000.0,21,3,1953-05-09
100012389,X,C,80.0,0,17000.0,2,20000.0,17,6,1985-03-13
100012507,X,C,113.0,0,18000.0,4,20000.0,15,6,1967-01-15
100012798,Z,C,23.0,1,25000.0,1,25000.0,23,4,1966-09-20
100012813,Z,C,57.0,1,9170.0,6,10000.0,18,7,1951-05-28
100013046,X,E,127.0,1,10000.0,2,10000.0,23,4,1956-11-01
100013050,X,E,69.0,0,8500.0,3,10000.0,21,7,1954-11-30
100013124,X,E,45.0,0,8500.0,4,10000.0,16,6,1980-02-19
100013126,X,E,77.0,0,5570.0,7,5000.0,16,5,1986-01-03
100013342,X,E,106.0,1,10000.0,5,10000.0,16,7,1946-03-31
100013445,X,E,53.0,0,,0,17000.0,53,3,1978-05-25
100013554,X,E,86.0,0,9000.0,3,10000.0,17,4,1967-09-16
100013585,X,E,45.0,1,20000.0,3,20000.0,22,6,1978-11-13
100013761,X,E,32.0,0,16670.0,3,20000.0,19,6,1952-06-14
100013873,X,E,27.0,0,8750.0,4,10000.0,19,6,1970-08-16
100013946,X,D,76.0,0,25000.0,1,25000.0,20,6,1986-04-23
100014060,X,E,113.0,1,5000.0,4,5000.0,15,5,1954-05-20
100014143,X,E,56.0,0,25000.0,1,25000.0,19,6,1949-12-17
100014168,X,E,35.0,0,20000.0,1,20000.0,18,4,1971-02-21
100014179,X,E,125.0,0,10000.0,3,10000.0,17,6,1951-09-18
100014371,Z,E,17.0,1,15000.0,1,15000.0,17,2,1996-09-16
100014472,Z,E,54.0,1,,0,15000.0,54,4,1986-03-25
100014578,Z,E,18.0,1,25000.0,1,25000.0,18,5,2006-07-27
100014624,Z,E,20.0,0,25000.0,1,25000.0,20,5,1970-07-23
100014681,X,A,105.0,0,9710.0,7,10000.0,18,6,1957-02-11
100014716,X,A,140.0,0,29500.0,3,29000.0,7,9,1952-11-24
100014810,X,A,93.0,0,5000.0,9,5000.0,15,6,1947-01-23
100014843,X,A,114.0,1,10000.0,3,10000.0,17,7,1956-06-16
100014881,X,A,113.0,1,8860.0,7,10000.0,17,6,1984-10-10
100014927,X,A,124.0,1,5770.0,13,5000.0,16,6,1964-10-08
100015096,X,A,86.0,0,25000.0,1,25000.0,18,6,1975-11-29
100015200,X,A,33.0,0,16500.0,2,20000.0,19,4,1973-05-30
100015240,X,A,64.0,1,10330.0,3,10000.0,20,5,1953-09-01
100015244,X,A,126.0,0,10000.0,4,10000.0,25,5,1949-12-04
100015368,X,A,52.0,0,5000.0,12,5000.0,20,7,1965-10-01
100015518,X,A,128.0,1,4290.0,8,5000.0,19,6,1946-01-27
100015553,X,A,32.0,1,5000.0,3,5000.0,17,5,1955-06-02
100015842,X,A,89.0,1,10000.0,2,10000.0,16,6,1958-06-05
100015878,X,A,40.0,0,8750.0,4,10000.0,15,6,1948-07-08
100016165,X,A,45.0,0,25000.0,2,25000.0,19,7,1965-12-20
100016203,X,A,92.0,0,10000.0,1,10000.0,18,5,1953-12-19
100016340,X,A,75.0,1,19000.0,3,20000.0,15,5,1964-01-23
100016451,X,A,35.0,0,16000.0,2,20000.0,26,4,1985-09-14
100016610,X,A,91.0,1,10000.0,2,10000.0,22,6,1956-10-05
100016633,X,A,69.0,1,10750.0,4,10000.0,22,6,1949-03-26
100016842,Z,A,18.0,0,15000.0,1,15000.0,18,4,1989-12-19
100016870,Z,A,24.0,1,25000.0,2,25000.0,24,5,1973-08-06
100016896,Z,A,25.0,0,25000.0,2,25000.0,25,5,1972-07-18
100016934,Z,A,19.0,1,15000.0,1,15000.0,19,4,1956-04-22
100016991,Z,A,17.0,1,25000.0,1,25000.0,17,5,1956-02-27
100017091,Z,A,16.0,1,20000.0,1,20000.0,16,5,1975-10-22
100017185,Z,A,40.0,1,,0,15000.0,40,4,1949-05-08
100017199,X,B,112.0,1,16670.0,3,20000.0,5,9,1979-10-11
100017248,X,B,79.0,0,25000.0,2,25000.0,18,6,1966-12-22
100017478,X,B,65.0,1,4330.0,6,5000.0,18,6,1948-01-27
100017519,X,B,53.0,1,9500.0,6,10000.0,16,6,1967-01-21
100017551,X,B,28.0,0,16670.0,2,20000.0,17,5,1986-06-10
100017601,X,B,30.0,1,15000.0,3,15000.0,17,5,1960-07-10
100017682,X,B,28.0,0,15000.0,2,15000.0,17,4,1997-11-13
100017770,X,B,41.0,1,9710.0,7,10000.0,15,6,1980-01-09
100017787,X,B,44.0,1,20000.0,1,20000.0,19,4,1975-11-14
100017871,X,B,31.0,1,25000.0,2,25000.0,21,6,1990-06-30
100017896,X,B,55.0,1,5000.0,5,5000.0,19,5,1956-02-12
100018073,X,B,124.0,0,8000.0,3,10000.0,17,6,1951-11-17
100018176,X,B,110.0,1,5000.0,6,5000.0,15,5,1956-02-08
100018315,X,B,88.0,1,8000.0,5,10000.0,22,6,1971-03-15
100018407,X,A,68.0,0,17000.0,2,20000.0,18,6,1950-11-28
100018430,X,B,33.0,1,15000.0,2,15000.0,24,4,1970-11-19
100018528,Y,B,33.0,1,10000.0,5,10000.0,18,7,1981-04-25
100018618,X,B,74.0,0,,0,15000.0,61,4,1966-10-08
100018649,X,B,131.0,1,10000.0,2,10000.0,26,6,1966-12-30
100018716,X,B,43.0,0,10500.0,3,10000.0,14,5,1963-08-12
100018947,X,B,69.0,0,16000.0,2,20000.0,21,6,1966-04-16
100019489,X,B,57.0,0,10250.0,5,10000.0,19,6,1982-10-29
100019688,Y,B,128.0,1,10000.0,1,10000.0,4,3,1958-11-14
100019721,Y,B,55.0,1,18670.0,3,20000.0,15,5,1977-03-07
100019816,Z,B,20.0,0,15000.0,1,15000.0,20,3,1966-01-25
100019905,Y,B,18.0,0,20000.0,2,20000.0,18,5,1968-10-07
100019911,Z,B,22.0,1,20000.0,1,20000.0,18,5,1949-05-26
100019949,Z,B,16.0,1,15000.0,1,15000.0,16,4,1964-05-22
100019951,Z,B,53.0,1,,0,15000.0,53,3,1974-09-25
100019974,Z,B,27.0,0,20000.0,2,20000.0,27,4,1976-09-03
100019989,Y,C,19.0,1,20000.0,3,20000.0,19,6,1974-08-15
100020014,Z,B,51.0,1,,0,15000.0,51,3,1953-06-06
100020018,Z,B,16.0,1,25000.0,1,25000.0,16,5,1975-10-12
100020083,Z,B,17.0,0,20000.0,1,20000.0,17,5,1984-08-13
100020112,Z,B,17.0,0,15000.0,1,15000.0,17,4,1986-04-17
100020163,Z,B,23.0,1,20000.0,1,20000.0,23,3,1951-12-04
100020179,Z,B,18.0,1,25000.0,1,25000.0,18,4,1969-04-08
100020211,Z,B,21.0,0,15000.0,1,15000.0,21,3,1999-11-26
100020270,Z,B,61.0,1,,0,15000.0,61,2,1977-06-30
100020350,X,A,67.0,0,,0,15000.0,39,6,1956-07-31
100020956,X,A,28.0,0,15000.0,2,15000.0,24,4,1956-08-14
100020975,X,A,100.0,0,18000.0,4,20000.0,15,6,1979-01-07
100021015,X,A,39.0,0,25000.0,1,25000.0,24,6,1948-08-20
100021247,X,A,104.0,1,5000.0,6,5000.0,17,6,1956-12-06
100021319,X,A,96.0,1,18330.0,2,20000.0,14,5,1947-12-10
100021323,X,A,80.0,0,5000.0,4,5000.0,18,5,1949-03-16
100021328,X,A,130.0,0,10500.0,8,10000.0,16,6,1955-08-09
100021393,X,A,127.0,0,25000.0,2,25000.0,26,5,1977-02-28
100021581,X,A,62.0,1,,0,15000.0,55,5,1946-09-28
100021702,X,A,105.0,0,20000.0,2,20000.0,18,6,1949-11-10
100021726,X,A,130.0,1,10000.0,2,10000.0,16,4,1957-01-21
100021764,X,A,128.0,0,8500.0,2,10000.0,26,4,1966-08-13
100021946,X,A,130.0,1,8380.0,8,10000.0,18,5,1948-01-25
100021996,X,A,65.0,1,5000.0,7,5000.0,17,6,1975-04-29
100022103,X,A,128.0,0,8500.0,2,10000.0,23,4,1956-01-03
100022146,Y,B,85.0,1,25000.0,1,25000.0,15,5,1972-07-09
100022317,X,A,104.0,0,10000.0,3,10000.0,20,5,1947-06-06
100022551,Y,A,103.0,0,10330.0,3,10000.0,6,5,1985-03-07
100022579,Z,A,24.0,0,25000.0,1,25000.0,24,4,1996-04-25
100022613,Z,A,17.0,1,15000.0,2,15000.0,17,5,1947-10-25
100022661,Z,A,21.0,0,15000.0,1,15000.0,21,3,1947-11-09
100022695,Z,A,16.0,0,25000.0,1,25000.0,16,5,1973-10-11
100022698,Z,A,18.0,1,15000.0,1,15000.0,18,4,1978-05-19
100022712,Z,A,23.0,1,15000.0,1,15000.0,23,3,1970-08-17
100022753,Z,A,16.0,0,15000.0,1,15000.0,16,4,1952-04-07
100022770,Z,A,56.0,1,,0,15000.0,56,1,1971-08-23
100022860,Z,A,17.0,1,15000.0,2,15000.0,17,5,1955-03-16
100022874,Z,A,23.0,1,15000.0,1,15000.0,18,6,1962-12-08
100022879,Z,A,23.0,1,15000.0,2,15000.0,23,4,1977-01-09
100022886,Z,A,16.0,0,25000.0,1,25000.0,16,5,1966-06-10
100023030,X,A,114.0,0,10670.0,3,10000.0,18,6,1953-01-05
100023035,X,A,77.0,0,25000.0,1,25000.0,17,5,1962-08-02
100023063,X,A,93.0,1,10000.0,6,10000.0,5,7,1950-10-29
100023113,X,A,66.0,0,25000.0,2,25000.0,17,6,1948-03-13
100023238,X,A,124.0,0,19000.0,3,20000.0,17,7,1959-02-27
100023302,X,A,76.0,1,18750.0,4,20000.0,22,6,1974-05-16
100023327,X,A,104.0,1,10000.0,2,10000.0,23,3,1982-05-24
100023380,X,A,86.0,0,19000.0,2,20000.0,24,6,1971-02-04
100023542,X,A,123.0,1,10000.0,2,10000.0,18,5,1961-10-19
100023664,X,A,65.0,1,5500.0,8,5000.0,21,5,1955-10-30
100023711,X,A,65.0,0,25000.0,1,25000.0,16,6,1979-08-12
100023786,X,A,89.0,1,25000.0,1,25000.0,25,6,1977-10-29
100023865,X,A,92.0,0,10200.0,5,10000.0,18,6,1977-07-31
100024099,X,A,30.0,1,15000.0,1,15000.0,15,3,1979-11-01
100024251,X,A,79.0,1,8250.0,4,10000.0,17,5,1973-10-31
100024270,X,A,76.0,1,10000.0,3,10000.0,18,6,1986-05-11
100024356,X,A,32.0,0,25000.0,1,25000.0,27,4,1956-08-21
100024400,X,A,46.0,0,20000.0,3,20000.0,26,7,1969-03-28
100024584,X,A,46.0,1,25000.0,4,25000.0,17,7,1951-05-09
100024654,X,A,80.0,0,25000.0,2,25000.0,23,6,1947-12-13
100024723,Y,A,70.0,0,10000.0,5,10000.0,16,3,1970-01-30
100024736,Y,A,51.0,0,,0,15000.0,50,2,1974-03-02
100024747,Y,A,15.0,0,15000.0,1,15000.0,15,2,1993-09-11
100024756,Y,A,15.0,1,20000.0,1,20000.0,15,3,1982-01-08
100024872,Z,A,21.0,1,15000.0,1,15000.0,21,3,1989-02-13
100024917,Z,A,17.0,0,25000.0,1,25000.0,17,5,1952-07-29
100024939,Z,A,24.0,0,15000.0,1,15000.0,24,3,1979-11-15
100024978,Y,B,23.0,0,15000.0,1,15000.0,23,3,1955-02-13
100025007,Z,A,20.0,0,20000.0,1,20000.0,20,4,1961-01-24
100025015,Z,A,18.0,0,20000.0,2,20000.0,18,5,1946-09-10
100025064,Z,A,56.0,0,,0,15000.0,56,2,1978-09-16
100025067,Z,A,19.0,1,25000.0,1,25000.0,19,4,1987-10-13
100025109,Z,A,24.0,1,15000.0,2,15000.0,15,5,1951-10-01
100025125,Z,A,16.0,0,25000.0,1,25000.0,16,5,1971-08-06
100025199,X,B,119.0,0,9000.0,2,10000.0,19,5,1956-08-08
100025270,X,A,41.0,1,8250.0,8,10000.0,16,6,1980-08-01
100025376,X,B,66.0,1,5000.0,8,5000.0,15,4,1996-06-07
100025416,X,B,29.0,0,20000.0,2,20000.0,22,4,1970-06-23
100025483,X,B,128.0,1,9000.0,5,10000.0,17,6,1976-09-15
100025516,X,B,76.0,1,10000.0,3,10000.0,18,4,1968-08-06
100025543,X,B,125.0,1,25000.0,2,25000.0,27,6,1983-07-16
100025637,X,B,41.0,1,16250.0,4,20000.0,18,5,1970-07-21
100025723,X,B,67.0,0,,0,15000.0,61,6,1950-03-10
100025918,X,B,66.0,1,7670.0,6,5000.0,19,6,1973-06-18
100025956,X,B,119.0,1,,0,15000.0,61,3,1949-04-24
100026179,Z,B,23.0,1,20000.0,1,20000.0,23,3,1970-02-07
100026212,Z,B,18.0,1,20000.0,2,20000.0,18,5,1981-01-07
100026241,Z,B,20.0,1,15000.0,1,15000.0,20,4,1960-12-04
100026296,Z,B,15.0,1,20000.0,1,20000.0,15,5,1982-10-27
100026358,Z,B,20.0,1,25000.0,1,25000.0,16,6,1949-04-10
100026360,Z,B,17.0,1,15000.0,1,15000.0,17,4,1973-10-21
100026364,Z,B,24.0,0,20000.0,1,20000.0,5,5,1957-11-14
100026387,X,C,122.0,1,8430.0,6,10000.0,7,8,1967-07-05
100026400,X,C,127.0,0,25000.0,3,25000.0,13,9,1954-01-27
100026467,X,C,124.0,1,16600.0,5,20000.0,14,7,1955-10-21
100026524,X,C,125.0,0,8750.0,3,10000.0,20,5,1953-01-20
100026631,Y,D,56.0,1,17500.0,2,20000.0,18,6,1946-04-15
100026653,X,C,31.0,0,10000.0,2,10000.0,21,4,1989-09-06
100026667,X,C,82.0,1,25000.0,2,25000.0,27,6,1970-09-13
100026737,X,C,124.0,1,10000.0,3,10000.0,25,6,1952-07-20
100026754,X,C,122.0,0,5430.0,6,5000.0,22,4,1946-09-24
100026802,X,C,93.0,0,17000.0,2,20000.0,26,5,1959-09-29
100026978,X,C,130.0,1,10330.0,3,10000.0,18,6,1951-12-05
100027095,X,C,79.0,1,19000.0,3,20000.0,19,6,1946-03-16
100027147,X,C,64.0,1,25000.0,1,25000.0,25,6,1977-05-16
100027188,X,C,81.0,0,5000.0,5,5000.0,17,6,1957-02-07
100027191,Y,D,92.0,0,5000.0,9,5000.0,16,6,1951-11-03
100027239,X,C,128.0,0,4000.0,8,5000.0,16,4,1954-03-17
100027248,X,C,45.0,1,5500.0,8,5000.0,21,6,1979-05-25
100027291,X,C,65.0,1,16670.0,3,20000.0,18,6,1969-12-19
100027446,X,C,76.0,1,9830.0,6,10000.0,16,6,1980-05-03
100027788,X,C,75.0,0,17750.0,4,20000.0,23,6,1980-12-03
100027983,X,C,104.0,0,17500.0,1,17500.0,22,5,1960-04-16
100028033,X,C,61.0,1,,0,15000.0,61,4,1965-01-16
100028053,Y,C,87.0,1,10670.0,3,10000.0,15,6,1965-02-09
100028089,Z,C,51.0,1,,0,15000.0,51,3,1967-05-20
100028152,Z,C,21.0,1,20000.0,1,20000.0,21,4,1974-04-29
100028217,Z,C,21.0,0,15000.0,1,15000.0,21,3,1979-12-12
100028241,Z,C,27.0,1,25000.0,2,25000.0,22,6,1955-07-03
100028287,Z,C,22.0,0,15000.0,1,15000.0,22,3,1966-04-15
100028327,Z,C,21.0,1,25000.0,1,25000.0,21,5,1958-04-12
100028334,Z,C,21.0,1,20000.0,1,20000.0,21,3,1974-06-29
100028498,X,C,67.0,0,,0,15000.0,52,3,1958-09-27
100028568,X,C,32.0,1,8000.0,4,10000.0,17,6,1953-02-18
100028609,X,C,125.0,0,25000.0,2,25000.0,22,7,1979-10-28
100028897,X,C,128.0,1,4500.0,8,5000.0,17,5,1996-10-29
100028934,X,C,122.0,1,17500.0,2,20000.0,21,6,1946-08-18
100028973,X,C,38.0,1,17000.0,1,17000.0,15,5,1981-04-23
100029032,X,C,75.0,0,10000.0,3,10000.0,19,6,1953-12-28
100029058,X,C,45.0,0,20000.0,1,20000.0,20,4,1964-10-15
100029092,X,C,123.0,1,10000.0,1,10000.0,19,3,2006-12-14
100029165,X,C,81.0,0,4170.0,12,5000.0,15,5,1959-10-29
100029188,X,C,45.0,0,20000.0,2,20000.0,19,5,1977-04-25
100029198,X,C,28.0,1,9000.0,4,10000.0,18,5,1949-10-17
100029215,X,C,91.0,1,25000.0,2,25000.0,17,6,1982-09-28
100029338,X,C,35.0,0,18330.0,3,20000.0,26,5,1993-10-28
100029405,X,C,77.0,1,25000.0,2,25000.0,18,6,1953-01-16
100029565,X,C,78.0,1,5600.0,5,5000.0,18,6,1956-02-04
100029635,X,B,41.0,0,5170.0,7,5000.0,16,7,1984-06-28
100029722,Y,C,15.0,0,20000.0,1,20000.0,15,3,1983-09-29
100029805,Z,B,21.0,0,25000.0,1,25000.0,21,5,1958-04-14
100029816,Z,C,21.0,0,15000.0,1,15000.0,21,3,1989-09-15
100029881,Z,C,50.0,0,,0,17000.0,50,4,1971-02-23
100030100,X,D,72.0,0,25000.0,1,25000.0,18,5,1981-07-29
100030373,X,D,129.0,0,25000.0,1,25000.0,19,6,1964-01-29
100030426,X,D,52.0,0,18330.0,3,20000.0,24,6,1957-03-14
100030505,X,D,62.0,1,18670.0,3,20000.0,15,6,1949-10-27
100030562,X,D,31.0,0,10670.0,3,10000.0,15,6,1981-12-19
100030570,X,D,127.0,0,8500.0,2,10000.0,17,5,1974-04-22
100030608,X,D,69.0,1,18330.0,4,20000.0,27,6,1957-05-30
100030643,X,D,55.0,1,18000.0,3,20000.0,27,6,1952-03-17
100030718,X,D,29.0,1,20000.0,2,20000.0,20,4,1969-02-20
100030798,X,D,104.0,0,17500.0,3,20000.0,19,7,1965-03-07
100030844,X,D,69.0,1,18750.0,4,20000.0,18,6,1956-05-11
100030884,X,D,113.0,0,18000.0,2,20000.0,19,6,1957-12-04
100030920,X,D,76.0,1,25000.0,1,25000.0,17,6,1973-01-22
100030946,X,D,44.0,0,25000.0,2,25000.0,19,6,1961-11-15
100031079,X,D,130.0,0,5000.0,4,5000.0,17,5,1952-10-24
